12|SUMATERA UTARA
12.01|KAB. TAPANULI TENGAH
12.01.01|Barus
12.01.01.1001|Pasar Batu Gerigis
12.01.01.1002|Padang Masiang
12.01.01.2003|Kampung Solok
12.01.01.2004|Pasar Terandam
12.01.01.2005|Sigambo Gambo
12.01.01.2006|Ujung Batu
12.01.01.2007|Kinali
12.01.01.2008|Kampung Mudik
12.01.01.2009|Aek Dakka
12.01.01.2010|Patupangan
12.01.01.2011|Gabungan Hasang
12.01.01.2017|Bungo Tanjung
12.01.01.2018|Kedai Gedang
12.01.02|Sorkam
12.01.02.1001|Sorkam
12.01.02.1002|Pargarutan
12.01.02.1004|Tarutung Bolak
12.01.02.1009|Naipospos Barat
12.01.02.2003|Teluk Roban
12.01.02.2005|Fajar
12.01.02.2006|Pardamean
12.01.02.2007|Pelita
12.01.02.2008|Rianiate
12.01.02.2010|Gonting Mahe
12.01.02.2011|Dolok Pantis
12.01.02.2014|Pea Raja
12.01.02.2015|Bottot
12.01.02.2016|Sorkam Tengah
12.01.02.2017|Sorkam Kiri
12.01.02.2018|Pananggahan
12.01.02.2019|Pagaran Julu
12.01.02.2020|Hite Urat
12.01.02.2021|Sihapas
12.01.02.2022|Nauli
12.01.02.2023|Muara Nauli
12.01.03|Pandan
12.01.03.1001|Pandan
12.01.03.1002|Hajoran
12.01.03.1003|Aek Tolang
12.01.03.1004|Lubuk Tukko
12.01.03.1005|Sibuluan Indah
12.01.03.1006|Sibuluan Nauli
12.01.03.1011|Aek Sitio-tio
12.01.03.1012|Sibuluan Raya
12.01.03.1013|Kalangan
12.01.03.1016|Pandan Wangi
12.01.03.1017|Lubuk Tukko Baru
12.01.03.1018|Sibuluan Baru
12.01.03.1019|Sibuluan Terpadu
12.01.03.1020|Sihaporas Nauli
12.01.03.1021|Pasar Baru
12.01.03.1022|Budi Luhur
12.01.03.1023|Kalangan Indah
12.01.03.1024|Mangga Dua
12.01.03.1025|Muara Nibung
12.01.03.1026|Hajoran Indah
12.01.03.2014|Aek Garut
12.01.03.2015|Sitio-Tio Hilir
12.01.04|Pinangsori
12.01.04.1001|Pinangsori
12.01.04.1004|Sitonong Bangun
12.01.04.1007|Pinangbaru
12.01.04.1009|Albion Prancis
12.01.04.1010|Sori Nauli
12.01.04.2002|Gunung Marijo
12.01.04.2003|Sihaporas
12.01.04.2005|Toga Basir
12.01.04.2006|Parjalihotan Baru
12.01.04.2008|Danau Pandan
12.01.05|Manduamas
12.01.05.1001|P.O. Manduamas
12.01.05.1003|Binjohara
12.01.05.1020|Perluasan
12.01.05.2002|Saragih
12.01.05.2004|Pagaran Nauli
12.01.05.2005|Sarma Nauli
12.01.05.2006|Manduamas Lama
12.01.05.2007|Tumba
12.01.05.2008|Tumba Jae
12.01.05.2009|Lae Monong
12.01.05.2010|Saragih Barat
12.01.05.2011|Saragih Timur
12.01.05.2012|Binjohara Uruk
12.01.05.2013|Binjohara Baru
12.01.05.2014|Tumba Nauli
12.01.05.2015|Manduamas Baru
12.01.05.2016|Muara Tapus
12.01.05.2017|Pagaran Baru
12.01.05.2018|Parsihotangan
12.01.05.2019|Tambahan Nanjur
12.01.06|Kolang
12.01.06.1006|P.O. Hurlang
12.01.06.1007|Kolang Nauli
12.01.06.2001|Unte Mungkur IV
12.01.06.2002|Unte Mungkur III
12.01.06.2003|Unte Mungkur II
12.01.06.2004|Unte Mungkur I
12.01.06.2005|Satahi Nauli
12.01.06.2008|Hurlang Muara Nauli
12.01.06.2009|Sipakpahi Aek Lobu
12.01.06.2010|Hodopa Nauli
12.01.06.2011|Makarti Nauli
12.01.06.2012|Rawa Makmur
12.01.06.2013|Simarpinggang
12.01.06.2014|Pargaringan
12.01.07|Tapian Nauli
12.01.07.1001|Tapian Nauli II
12.01.07.2002|Tapian Nauli I
12.01.07.2003|Tapian Nauli III
12.01.07.2004|Tapian Nauli IV
12.01.07.2005|Aloban Bair
12.01.07.2006|Mela Dolok
12.01.07.2007|Mela I
12.01.07.2008|Mela II
12.01.07.2009|Bair
12.01.08|Sibabangun
12.01.08.1002|Sibabangun
12.01.08.2005|Mombang Boru
12.01.08.2006|Anggoli
12.01.08.2007|Muara Sibuntuon
12.01.08.2008|Sibio bio
12.01.08.2010|Simanosor
12.01.08.2011|Hutagur-gur
12.01.09|Sosorgadong
12.01.09.1001|Sosor Gadong
12.01.09.2002|Unte Boang
12.01.09.2003|Sibintang
12.01.09.2004|Barambang
12.01.09.2005|Siantar Ca
12.01.09.2006|Muara Bolak
12.01.09.2007|Huta Tombak
12.01.09.2008|Siantar Dolok
12.01.09.2009|Baringin
12.01.10|Sorkam Barat
12.01.10.1001|Sorkam Kanan
12.01.10.1019|Binasi
12.01.10.2002|Sipea Pea
12.01.10.2003|Pahieme I
12.01.10.2004|Pasar Sorkam
12.01.10.2005|Aek Raso
12.01.10.2006|Pasaribu Tobing Jae
12.01.10.2014|Maduma
12.01.10.2016|Sidikalang
12.01.10.2017|Pahieme II
12.01.10.2018|Sorkam Kanan
12.01.10.2020|Madani
12.01.11|Sirandorung
12.01.11.1001|Bajamas
12.01.11.2002|Sampang Maruhur
12.01.11.2003|Siordang
12.01.11.2004|Pardomuan
12.01.11.2005|Simpang III Lae Bingke
12.01.11.2006|Sigodung
12.01.11.2007|Masnauli
12.01.11.2008|Muara Ode
12.01.12|Andam Dewi
12.01.12.1007|Rina Bolak
12.01.12.2001|Sijungkang
12.01.12.2002|Pangaribuan
12.01.12.2003|Sogar
12.01.12.2004|Sirami Ramian
