13|SUMATERA BARAT
13.01|KAB. PESISIR SELATAN
13.01.01|Pancung Soal
13.01.01.2001|Inderapura
13.01.01.2002|Muaro Sakai Inderapura
13.01.01.2003|Tiga Sepakat Inderapura
13.01.01.2004|Inderapura Barat
13.01.01.2005|Kudo-Kudo Inderapura
13.01.01.2006|Inderapura Selatan
13.01.01.2009|Simpang Lama Inderapura
13.01.01.2010|Tigo Sungai Inderapura
13.01.01.2011|Tluk Amplu Inderapura
13.01.01.2012|Inderapura Tengah
13.01.02|Ranah Pesisir
13.01.02.2001|Pelangai
13.01.02.2002|Sungai Tunu
13.01.02.2003|Sungai Tunu Utara
13.01.02.2004|Sungai Tunu Barat
13.01.02.2005|Nyiur Melambai Pelangai
13.01.02.2006|Sungai Liku Pelangai
13.01.02.2007|Koto VIII Pelangai
13.01.02.2008|Pelangai Gadang
13.01.02.2009|Pelangai Kaciak
13.01.02.2010|Pasia Pelangai
13.01.03|Lengayang
13.01.03.2001|Kambang
13.01.03.2002|Lakitan
13.01.03.2003|Kambang Utara
13.01.03.2004|Kambang Timur
13.01.03.2005|Kambang Barat
13.01.03.2006|Lakitan Utara
13.01.03.2007|Lakitan Selatan
13.01.03.2008|Lakitan Timur
13.01.03.2009|Lakitan Tengah
13.01.04|Batang Kapas
13.01.04.2001|IV Koto Hilie
13.01.04.2002|IV Koto Mudiek
13.01.04.2003|Taluak
13.01.04.2004|Koto Nan Duo IV Koto Hilie
13.01.04.2005|Koto Nan Tigo IV Koto Hilie
13.01.04.2006|Teratak Tempatih IV Koto Mudiek
13.01.04.2007|Tuik IV Koto Mudiek
13.01.04.2008|Sungai Nyalo IV Koto Mudiek
13.01.04.2009|Taluk Tigo Sakato
13.01.05|IV Jurai
13.01.05.2001|Painan
13.01.05.2002|Tambang
13.01.05.2003|Salido
13.01.05.2004|Lumpo
13.01.05.2005|Bunga Pasang Salido
13.01.05.2006|Sago Salido
13.01.05.2007|Salido Sari Bulan
13.01.05.2008|Koto Rawang
13.01.05.2009|Limau Gadang Lumpo
13.01.05.2010|Batu Kunik Lumpo
13.01.05.2011|Taratak Tangah Lumpo
13.01.05.2012|Ampuan Lumpo
13.01.05.2013|Ampang Tareh Lumpo
13.01.05.2014|Balai Sinayan Lumpo
13.01.05.2015|Sungai Gayo Lumpo
13.01.05.2016|Sungai Sariak Lumpo
13.01.05.2017|Bukik Kaciak Lumpo
13.01.05.2018|Gunung Bungkuak Lumpo
13.01.05.2019|Painan Selatan Painan
13.01.05.2020|Painan Timur Painan
13.01.06|Bayang
13.01.06.2005|Koto Berapak
13.01.06.2006|Talaok
13.01.06.2007|Pasar Baru
13.01.06.2008|Gurun Panjang
13.01.06.2009|Api-api Pasar Baru
13.01.06.2010|Tanjung Durian Pasar Baru
13.01.06.2011|Asam Kamba Pasar Baru
13.01.06.2012|Sawah Laweh Pasar Baru
13.01.06.2013|Kapeh Panji Jaya Talaok
13.01.06.2014|Aur Begalung Talaok
13.01.06.2015|Kapelgam Koto Berapak
13.01.06.2016|Koto Baru Koto Berapak
13.01.06.2017|Kubang Koto Berapak
13.01.06.2018|Kapujan Koto Berapak
13.01.06.2019|Gurun Panjang Utara
13.01.06.2020|Gurun Panjang Barat
13.01.06.2021|Gurun Panjang Selatan
13.01.07|Koto XI Tarusan
13.01.07.2001|Siguntur
13.01.07.2002|Sungai Pinang
13.01.07.2003|Duku
13.01.07.2004|Batu Hampa
13.01.07.2005|Nanggalo
13.01.07.2006|Ampang Pulai
13.01.07.2007|Kapuh
13.01.07.2008|Barung-Barung Balantai
13.01.07.2009|Barung-Barung Balantai Selatan
13.01.07.2010|Mandeh
13.01.07.2011|Kapuah Utara
13.01.07.2012|Taratak Sungai Lundang
13.01.07.2013|Siguntur Tua
13.01.07.2014|Kampung Baru Korong Nan Ampek
13.01.07.2015|Duku Utara
13.01.07.2016|Pulau Karam Ampang Pulai
13.01.07.2017|Jinang Kampung Pansur Ampang Pulai
13.01.07.2018|Cerocok Anau Ampang Pulai
13.01.07.2019|Sungai Nyalo Mudiak Aia
13.01.07.2020|Batu Hampar Selatan
13.01.07.2021|Barung-Barung Balantai Timur
13.01.07.2022|Barung-Barung Balantai Tengah
13.01.07.2023|Setara Nanggalo
13.01.08|Sutera
13.01.08.2001|Taratak
13.01.08.2002|Surantih
13.01.08.2003|Amping Parak
13.01.08.2004|Amping Parak Timur
13.01.08.2005|Koto Taratak
13.01.08.2006|Lansano Taratak
13.01.08.2007|Aur Duri Surantih
13.01.08.2008|Rawang Gunung Malelo Surantih
13.01.08.2009|Koto Nan Tigo Selatan Surantih
13.01.08.2010|Koto Nan Tigo Utara Surantih
13.01.08.2011|Ganting Mudiak Selatan Surantih
13.01.08.2012|Ganting Mudiak Utara Surantih
13.01.09|Linggo Sari Baganti
13.01.09.2001|Punggasan
13.01.09.2002|Air Haji
13.01.09.2003|Punggasan Utara
13.01.09.2004|Punggasan Timur
13.01.09.2005|Padang XI Punggasan
13.01.09.2006|Lagan Mudik Punggasan
13.01.09.2007|Lagan Hilir Punggasan
13.01.09.2008|Air Haji Tenggara
13.01.09.2009|Pasar Lama Muara Air Haji
13.01.09.2010|Pasar Bukit Air Haji
13.01.09.2011|Air Haji Barat
13.01.09.2012|Air Haji Tengah
13.01.09.2013|Rantau Simalenang Air Haji
13.01.09.2014|Muara Gadang Air Haji
13.01.09.2015|Sungai Sirah Air Haji
13.01.09.2016|Muara Kandis Punggasan
13.01.10|Lunang
13.01.10.2001|Lunang
13.01.10.2003|Lunang Utara
13.01.10.2004|Lunang Selatan
13.01.10.2005|Lunang Barat
13.01.10.2015|Sindang Lunang
13.01.10.2016|Pondok Parian Lunang
13.01.10.2017|Lunang Tengah
13.01.10.2018|Lunang Satu
13.01.10.2019|Lunang Dua
13.01.10.2020|Lunang Tiga
13.01.11|Basa Ampek Balai Tapan
13.01.11.2001|Tapan
13.01.11.2002|Pasar Tapan
13.01.11.2007|Batang Arah Tapan
