33|JAWA TENGAH
33.01|KAB. CILACAP
33.01.01|Kedungreja
33.01.01.2001|Tambakreja
33.01.01.2002|Bumireja
33.01.01.2003|Ciklapa
33.01.01.2004|Kedungreja
33.01.01.2005|Tambaksari
33.01.01.2006|Rejamulya
33.01.01.2007|Sidanegara
33.01.01.2008|Kaliwungu
33.01.01.2009|Jatisari
33.01.01.2010|Bangunreja
33.01.01.2011|Bojongsari
33.01.02|Kesugihan
33.01.02.2001|Menganti
33.01.02.2002|Slarang
33.01.02.2003|Kesugihan
33.01.02.2004|Kalisabuk
33.01.02.2005|Karangkandri
33.01.02.2006|Kuripan
33.01.02.2007|Dondong
33.01.02.2008|Planjan
33.01.02.2009|Ciwuni
33.01.02.2010|Karangjengkol
33.01.02.2011|Keleng
33.01.02.2012|Pesanggrahan
33.01.02.2013|Bulupayung
33.01.02.2014|Kuripan Kidul
33.01.02.2015|Jangrana
33.01.02.2016|Kesugihan Kidul
33.01.03|Adipala
33.01.03.2001|Welahan Wetan
33.01.03.2002|Glempangpasir
33.01.03.2003|Pedasong
33.01.03.2004|Karangbenda
33.01.03.2005|Karanganyar
33.01.03.2006|Bunton
33.01.03.2007|Wlahar
33.01.03.2008|Penggalang
33.01.03.2009|Adipala
33.01.03.2010|Adireja Kulon
33.01.03.2011|Adireja Wetan
33.01.03.2012|Adiraja
33.01.03.2013|Doplang
33.01.03.2014|Kalikudi
33.01.03.2015|Karangsari
33.01.03.2016|Gombolharjo
33.01.04|Binangun
33.01.04.2001|Jati
33.01.04.2002|Kepudang
33.01.04.2003|Jepara Kulon
33.01.04.2004|Widarapayung Kulon
33.01.04.2005|Jepara Wetan
33.01.04.2006|Bangkal
33.01.04.2007|Binangun
33.01.04.2008|Widarapayung Wetan
33.01.04.2009|Alangamba
33.01.04.2010|Pasuruhan
33.01.04.2011|Sidaurip
33.01.04.2012|Pagubugan
33.01.04.2013|Pesawahan
33.01.04.2014|Kemojing
33.01.04.2015|Karangnangka
33.01.04.2016|Sidayu
33.01.04.2017|Pagubugan Kulon
33.01.05|Nusawungu
33.01.05.2001|Karangtawang
33.01.05.2002|Karangpakis
33.01.05.2003|Banjarsari
33.01.05.2004|Jetis
33.01.05.2005|Banjareja
33.01.05.2006|Kedungbenda
33.01.05.2007|Klumprit
33.01.05.2008|Karangsembung
33.01.05.2009|Purwodadi
33.01.05.2010|Nusawangkal
33.01.05.2011|Karangputat
33.01.05.2012|Banjarwaru
33.01.05.2013|Danasri Kidul
33.01.05.2014|Nusawungu
33.01.05.2015|Danasri Lor
33.01.05.2016|Danasri
33.01.05.2017|Sikanco
33.01.06|Kroya
33.01.06.2001|Sikampuh
33.01.06.2002|Pekuncen
33.01.06.2003|Ayamalas
33.01.06.2004|Pesanggrahan
33.01.06.2005|Kroya
33.01.06.2006|Karangmangu
33.01.06.2007|Pucung Kidul
33.01.06.2008|Mergawati
33.01.06.2009|Pucung Lor
33.01.06.2010|Bajing
33.01.06.2011|Gentasari
33.01.06.2012|Kedawung
33.01.06.2013|Mujur
33.01.06.2014|Buntu
33.01.06.2015|Karangturi
33.01.06.2016|Bajing Kulon
33.01.06.2017|Mujur Lor
33.01.07|Maos
33.01.07.2001|Karangkemiri
33.01.07.2002|Karangrena
33.01.07.2003|Maos Kidul
33.01.07.2004|Maos Lor
33.01.07.2005|Kalijaran
33.01.07.2006|Mernek
33.01.07.2007|Panisihan
33.01.07.2008|Glempang
33.01.07.2009|Karangreja
33.01.07.2010|Klapagada
33.01.08|Jeruklegi
33.01.08.2001|Tritih Wetan
33.01.08.2002|Sumingkir
33.01.08.2003|Jeruklegi Wetan
33.01.08.2004|Brebeg
33.01.08.2005|Jeruklegi Kulon
33.01.08.2006|Cilibang
33.01.08.2007|Mandala
33.01.08.2008|Karangkemiri
33.01.08.2009|Jambusari
33.01.08.2010|Prapagan
33.01.08.2011|Sawangan
33.01.08.2012|Citepus
33.01.08.2013|Tritih Lor
33.01.09|Kawunganten
33.01.09.2001|Grugu
33.01.09.2002|Bringkeng
33.01.09.2003|Ujungmanik
33.01.09.2004|Kubangkangkung
33.01.09.2005|Bojong
33.01.09.2006|Mentasan
33.01.09.2007|Kalijeruk
33.01.09.2008|Kawunganten
33.01.09.2009|Sarwadadi
33.01.09.2010|Kawunganten Lor
33.01.09.2014|Babakan
33.01.09.2015|Sidaurip
33.01.10|Gandrungmangu
33.01.10.2001|Gandrungmangu
33.01.10.2002|Gandrungmanis
33.01.10.2003|Cisumur
33.01.10.2004|Karanganyar
33.01.10.2005|Cinangsi
33.01.10.2006|Karanggintung
33.01.10.2007|Rungkang
33.01.10.2008|Sidaurip
33.01.10.2009|Gintungreja
33.01.10.2010|Layansari
33.01.10.2011|Bulusari
33.01.10.2012|Muktisari
33.01.10.2013|Wringinharjo
33.01.10.2014|Kertajaya
33.01.11|Sidareja
33.01.11.2001|Tinggarjaya
33.01.11.2002|Sidareja
33.01.11.2003|Sidamulya
33.01.11.2004|Kunci
33.01.11.2005|Karanggedang
33.01.11.2006|Penyarang
33.01.11.2007|Tegalsari
33.01.11.2008|Margasari
33.01.11.2009|Gunungreja
33.01.11.2010|Sudagaran
33.01.12|Karangpucung
33.01.12.2001|Cidadap
33.01.12.2002|Pangawaren
33.01.12.2003|Gunungtelu
33.01.12.2004|Sindangbarang
33.01.12.2005|Karangpucung
33.01.12.2006|Ciporos
33.01.12.2007|Tayem
33.01.12.2008|Bengbulang
33.01.12.2009|Surusunda
33.01.12.2010|Babakan
33.01.12.2011|Ciruyung
33.01.12.2012|Pamulihan
33.01.12.2013|Tayem Timur
33.01.12.2014|Sidamulya
33.01.13|Cimanggu
33.01.13.2001|Panimbang
33.01.13.2002|Bantarmangu
33.01.13.2003|Bantarpanjang
33.01.13.2004|Cimanggu
33.01.13.2005|Cilempuyang
33.01.13.2006|Negarajati
33.01.13.2007|Cisalak
33.01.13.2008|Cibalung
33.01.13.2009|Karangsari
33.01.13.2010|Kutabima
33.01.13.2011|Pesahangan
33.01.13.2012|Cijati
33.01.13.2013|Karangreja
33.01.13.2014|Rejodadi
33.01.13.2015|Mandala
33.01.14|Majenang
33.01.14.2001|Pahonjean
33.01.14.2002|Salebu
33.01.14.2003|Cibeunying
33.01.14.2004|Jenang
33.01.14.2005|Sindangsari
33.01.14.2006|Cilopadang
33.01.14.2007|Bener
33.01.14.2008|Boja
33.01.14.2009|Ujungbarang
33.01.14.2010|Pengadegan
33.01.14.2011|Sepatnunggal
33.01.14.2012|Sadabumi
33.01.14.2013|Sadahayu
33.01.14.2014|Mulyadadi
33.01.14.2015|Padangjaya
33.01.14.2016|Padangsari
33.01.14.2017|Mulyasari
33.01.15|Wanareja
33.01.15.2001|Tarisi
33.01.15.2002|Bantar
33.01.15.2003|Wanareja
33.01.15.2004|Limbangan
33.01.15.2005|Malabar
33.01.15.2006|Majingklak
33.01.15.2007|Madura
33.01.15.2008|Tambaksari
33.01.15.2009|Palugon
33.01.15.2010|Cigintung
33.01.15.2011|Jambu
33.01.15.2012|Adimulya
