35|JAWA TIMUR
35.01|KAB. PACITAN
35.01.01|Donorojo
35.01.01.2001|Widoro
35.01.01.2002|Sawahan
35.01.01.2003|Kalak
35.01.01.2004|Sendang
35.01.01.2005|Klepu
35.01.01.2006|Gedompol
35.01.01.2007|Cemeng
35.01.01.2008|Gendaran
35.01.01.2009|Sukodono
35.01.01.2010|Sekar
35.01.01.2011|Donorojo
35.01.01.2012|Belah
35.01.02|Pringkuku
35.01.02.2001|Dersono
35.01.02.2002|Sugihwaras
35.01.02.2003|Watukarung
35.01.02.2004|Jlubang
35.01.02.2005|Candi
35.01.02.2006|Poko
35.01.02.2007|Dadapan
35.01.02.2008|Pringkuku
35.01.02.2009|Sobo
35.01.02.2010|Ngadirejan
35.01.02.2011|Glinggangan
35.01.02.2012|Pelem
35.01.02.2013|Tamanasri
35.01.03|Punung
35.01.03.2001|Bomo
35.01.03.2002|Sooka
35.01.03.2003|Punung
35.01.03.2004|Mendolo Kidul
35.01.03.2005|Piton
35.01.03.2006|Kendal
35.01.03.2007|Wareng
35.01.03.2008|Mantren
35.01.03.2009|Mendolo Lor
35.01.03.2010|Ploso
35.01.03.2011|Gondosari
35.01.03.2012|Kebonsari
35.01.03.2013|Tinatar
35.01.04|Pacitan
35.01.04.1001|Sidoharjo
35.01.04.1002|Ploso
35.01.04.1008|Baleharjo
35.01.04.1012|Pucangsewu
35.01.04.1013|Pacitan
35.01.04.2003|Kembang
35.01.04.2004|Sukoharjo
35.01.04.2005|Kayen
35.01.04.2006|Sirnoboyo
35.01.04.2007|Arjowinangun
35.01.04.2009|Bangunsari
35.01.04.2010|Sedeng
35.01.04.2011|Sumberharjo
35.01.04.2014|Tanjungsari
35.01.04.2015|Menadi
35.01.04.2016|Mentoro
35.01.04.2017|Purworejo
35.01.04.2018|Nanggungan
35.01.04.2019|Widoro
35.01.04.2020|Semanten
35.01.04.2021|Sambong
35.01.04.2022|Banjarsari
35.01.04.2023|Bolosingo
35.01.04.2024|Ponggok
35.01.04.2025|Tambakrejo
35.01.05|Kebonagung
35.01.05.2001|Plumbungan
35.01.05.2002|Karangnongko
35.01.05.2003|Kalipelus
35.01.05.2004|Karanganyar
35.01.05.2005|Katipugal
35.01.05.2006|Klesem
35.01.05.2007|Sidomulyo
35.01.05.2008|Worawari
35.01.05.2009|Mantren
35.01.05.2010|Gawang
35.01.05.2011|Kebonagung
35.01.05.2012|Purwoasri
35.01.05.2013|Banjarjo
35.01.05.2014|Gembuk
35.01.05.2015|Sanggrahan
35.01.05.2016|Punjung
35.01.05.2017|Wonogondo
35.01.05.2018|Ketepung
35.01.05.2019|Ketro
35.01.06|Arjosari
35.01.06.2001|Mlati
35.01.06.2002|Sedayu
35.01.06.2003|Tremas
35.01.06.2004|Arjosari
35.01.06.2005|Gunungsari
35.01.06.2006|Pagutan
35.01.06.2007|Gembong
35.01.06.2008|Borang
35.01.06.2009|Gegeran
35.01.06.2010|Kedungbendo
35.01.06.2011|Mangunharjo
35.01.06.2012|Jetiskidul
35.01.06.2013|Temon
35.01.06.2014|Karanggede
35.01.06.2015|Gayuhan
35.01.06.2016|Karangrejo
35.01.06.2017|Jatimalang
35.01.07|Nawangan
35.01.07.2001|Gondang
35.01.07.2002|Mujing
35.01.07.2003|Sempu
35.01.07.2004|Nawangan
35.01.07.2005|Tokawi
35.01.07.2006|Jetis Lor
35.01.07.2007|Penggung
35.01.07.2008|Pakis Baru
35.01.07.2009|Ngromo
35.01.08|Bandar
35.01.08.2001|Petungsinarang
35.01.08.2002|Ngunut
35.01.08.2003|Bandar
35.01.08.2004|Kledung
35.01.08.2005|Tumpuk
35.01.08.2006|Watupatok
35.01.08.2007|Bangunsari
35.01.08.2008|Jeruk
35.01.09|Tegalombo
35.01.09.2001|Kebondalem
35.01.09.2002|Gedangan
35.01.09.2003|Ngreco
35.01.09.2004|Kasihan
35.01.09.2005|Pucangombo
35.01.09.2006|Gemaharjo
35.01.09.2007|Ploso
35.01.09.2008|Tegalombo
35.01.09.2009|Kemuning
35.01.09.2010|Tahunan
35.01.09.2011|Tahunan Baru
35.01.10|Tulakan
35.01.10.2001|Jetak
35.01.10.2002|Nglaran
35.01.10.2003|Wonoanti
35.01.10.2004|Padi
35.01.10.2005|Kluwih
35.01.10.2006|Bungur
35.01.10.2007|Tulakan
35.01.10.2008|Jatigunung
35.01.10.2009|Gasang
35.01.10.2010|Kalikuning
35.01.10.2011|Ngile
35.01.10.2012|Bubakan
35.01.10.2013|Losari
35.01.10.2014|Ngumbul
35.01.10.2015|Wonosidi
35.01.10.2016|Ketro
35.01.11|Ngadirojo
35.01.11.2001|Sidomulyo
35.01.11.2002|Hadiwarno
35.01.11.2003|Tanjungpuro
35.01.11.2004|Hadiluwih
35.01.11.2005|Pagerejo
35.01.11.2006|Wiyoro
35.01.11.2007|Ngadirojo
35.01.11.2008|Bogoharjo
35.01.11.2009|Cokrokembang
35.01.11.2010|Bodag
35.01.11.2011|Tanjunglor
35.01.11.2012|Nogosari
35.01.11.2013|Cangkring
35.01.11.2014|Wonodadi Wetan
35.01.11.2015|Wonodadi Kulon
35.01.11.2016|Wonokarto
35.01.11.2017|Wonosobo
35.01.11.2018|Wonoasri
35.01.12|Sudimoro
35.01.12.2001|Pagerkidul
35.01.12.2002|Pagerlor
35.01.12.2003|Sukorejo
35.01.12.2004|Sudimoro
35.01.12.2005|Ketanggung
35.01.12.2006|Klepu
35.01.12.2007|Sembowo
35.01.12.2008|Karangmulyo
35.01.12.2009|Gunungrejo
35.01.12.2010|Sumberejo
35.02|KAB. PONOROGO
35.02.01|Slahung
35.02.01.2001|Tugurejo
35.02.01.2002|Senepo
35.02.01.2003|Slahung
35.02.01.2004|Caluk
35.02.01.2005|Broto
35.02.01.2006|Menggare
35.02.01.2007|Kambeng
35.02.01.2008|Wates
35.02.01.2009|Ngilo-Ilo
35.02.01.2010|Duri
35.02.01.2011|Ngloning
35.02.01.2012|Plancungan
35.02.01.2013|Jebeng
35.02.01.2014|Galak
35.02.01.2015|Truneng
35.02.01.2016|Simo
35.02.01.2017|Crabak
35.02.01.2018|Mojopitu
35.02.01.2019|Gundik
35.02.01.2020|Nailan
35.02.01.2021|Gombang
35.02.01.2022|Janti
35.02.02|Ngrayun
35.02.02.2001|Wonodadi
35.02.02.2002|Sendang
35.02.02.2003|Baosan Kidul
35.02.02.2004|Binade
35.02.02.2005|Mrayan
35.02.02.2006|Baosan Lor
35.02.02.2007|Temon
35.02.02.2008|Selur
35.02.02.2009|Ngrayun
35.02.02.2010|Cepoko
35.02.02.2011|Gedangan
35.02.03|Bungkal
35.02.03.2001|Pelem
35.02.03.2002|Koripan
35.02.03.2003|Bekare
35.02.03.2004|Nambak
35.02.03.2005|Kalisat
35.02.03.2006|Munggu
35.02.03.2007|Pager
35.02.03.2008|Belang
35.02.03.2009|Bungkal
35.02.03.2010|Ketonggo
35.02.03.2011|Kunti
35.02.03.2012|Bancar
35.02.03.2013|Padas
35.02.03.2014|Bungu
35.02.03.2015|Kupuk
35.02.03.2016|Sambilawang
35.02.03.2017|Kwajon
35.02.03.2018|Bediwetan
35.02.03.2019|Bedikulon
35.02.04|Sambit
35.02.04.2001|Gajah
35.02.04.2002|Wringinanom
35.02.04.2003|Ngadisanan
35.02.04.2004|Maguwan
35.02.04.2005|Nglewan
35.02.04.2006|Bedingin
35.02.04.2007|Bancangan
35.02.04.2008|Campurejo
35.02.04.2009|Campursari
35.02.04.2010|Bulu
35.02.04.2011|Sambit
35.02.04.2012|Besuki
35.02.04.2013|Wilangan
35.02.04.2014|Bangsalan
35.02.04.2015|Kemuning
35.02.04.2016|Jrakah
35.02.05|Sawoo
35.02.05.2001|Tumpuk
35.02.05.2002|Pangkal
35.02.05.2003|Tumpak Pelem
35.02.05.2004|Tempuran
35.02.05.2005|Sriti
35.02.05.2006|Temon
35.02.05.2007|Sawoo
35.02.05.2008|Prayungan
35.02.05.2009|Tugurejo
35.02.05.2010|Grogol
35.02.05.2011|Ketro
35.02.05.2012|Kori
35.02.05.2013|Bondrang
35.02.05.2014|Ngindeng
35.02.06|Sooko
35.02.06.2001|Ngadirojo
35.02.06.2002|Klepu
35.02.06.2003|Suru
35.02.06.2004|Sooko
35.02.06.2005|Bedoho
35.02.06.2006|Jurug
35.02.07|Pulung
35.02.07.2001|Karangpatihan
35.02.07.2002|Tegalrejo
35.02.07.2003|Bedrug
35.02.07.2004|Wagir Kidul
35.02.07.2005|Singgahan
35.02.07.2006|Patik
35.02.07.2007|Pulung
35.02.07.2008|Pulung Merdiko
35.02.07.2009|Sidoharjo
35.02.07.2010|Wotan
35.02.07.2011|Plunturan
35.02.07.2012|Pomahan
35.02.07.2013|Kesugihan
35.02.07.2014|Serag
35.02.07.2015|Wayang
35.02.07.2016|Munggung
35.02.07.2017|Bekiring
35.02.07.2018|Banaran
35.02.08|Mlarak
35.02.08.2001|Tugu
35.02.08.2002|Candi
35.02.08.2003|Totokan
35.02.08.2004|Ngrukem
35.02.08.2005|Siwalan
35.02.08.2006|Joresan
35.02.08.2007|Nglumpang
35.02.08.2008|Gontor
35.02.08.2009|Gandu
35.02.08.2010|Jabung
35.02.08.2011|Bajang
35.02.08.2012|Mlarak
35.02.08.2013|Serangan
35.02.08.2014|Suren
35.02.08.2015|Kaponan
35.02.09|Jetis
35.02.09.2001|Ngasinan
35.02.09.2002|Kutu Kulon
35.02.09.2003|Kutu Wetan
35.02.09.2004|Kradenan
35.02.09.2005|Mojomati
35.02.09.2006|Coper
35.02.09.2007|Mojorejo
35.02.09.2008|Karanggebang
35.02.09.2009|Jetis
35.02.09.2010|Tegalsari
35.02.09.2011|Wonoketro
35.02.09.2012|Josari
35.02.09.2013|Turi
35.02.09.2014|Winong
35.02.10|Siman
35.02.10.1017|Ronowijayan
35.02.10.1018|Mangunsuman
35.02.10.2001|Demangan
35.02.10.2002|Ngabar
35.02.10.2003|Madusari
35.02.10.2004|Beton
35.02.10.2005|Sekaran
35.02.10.2006|Brahu
35.02.10.2007|Kepuhrubuh
35.02.10.2008|Sawuh
35.02.10.2009|Jarak
35.02.10.2010|Tranjang
35.02.10.2011|Pijeran
35.02.10.2012|Manuk
35.02.10.2013|Siman
35.02.10.2014|Patihan Kidul
35.02.10.2015|Ronosentanan
35.02.10.2016|Tajug
35.02.11|Balong
35.02.11.2001|Pandak
35.02.11.2002|Bulu Kidul
35.02.11.2003|Bulak
35.02.11.2004|Ngendut
35.02.11.2005|Karangpatihan
35.02.11.2006|Sumberejo
35.02.11.2007|Ngumpul
35.02.11.2008|Ngraket
35.02.11.2009|Dadapan
35.02.11.2010|Singkil
35.02.11.2011|Karangan
35.02.11.2012|Bajang
35.02.11.2013|Balong
35.02.11.2014|Jalen
35.02.11.2015|Karangmojo
35.02.11.2016|Sedarat
35.02.11.2017|Purworejo
35.02.11.2018|Tatung
35.02.11.2019|Muneng
35.02.11.2020|Ngampel
35.02.12|Kauman
35.02.12.2001|Tegalombo
35.02.12.2002|Nongkodono
35.02.12.2003|Sukosari
35.02.12.2004|Ngrandu
35.02.12.2005|Nglarangan
35.02.12.2006|Bringin
35.02.12.2007|Pengkol
35.02.12.2008|Gabel
35.02.12.2009|Ciluk
35.02.12.2010|Semanding
35.02.12.2011|Tosanan
35.02.12.2012|Maron
35.02.12.2013|Somoroto
35.02.12.2014|Plosojenar
35.02.12.2015|Carat
35.02.12.2016|Kauman
35.02.13|Badegan
35.02.13.2001|Dayakan
35.02.13.2002|Karangan
35.02.13.2003|Tanjunggunung
35.02.13.2004|Karangjoho
35.02.13.2005|Tanjungrejo
35.02.13.2006|Bandaralim
35.02.13.2007|Kapuran
35.02.13.2008|Watubonang
35.02.13.2009|Biting
35.02.13.2010|Badegan
35.02.14|Sampung
35.02.14.2001|Sampung
35.02.14.2002|Pohijo
35.02.14.2003|Jenangan
35.02.14.2004|Nglurup
35.02.14.2005|Tulung
35.02.14.2006|Carangrejo
35.02.14.2007|Pagerukir
35.02.14.2008|Kunti
35.02.14.2009|Glinggang
35.02.14.2010|Gelangkulon
35.02.14.2011|Karangwaluh
35.02.14.2012|Ringinputih
35.02.15|Sukorejo
35.02.15.2001|Sukorejo
35.02.15.2002|Bangunrejo
35.02.15.2003|Sidorejo
35.02.15.2004|Nambangrejo
35.02.15.2005|Lengkong
35.02.15.2006|Gelang Lor
35.02.15.2007|Serangan
35.02.15.2008|Nampan
35.02.15.2009|Kranggan
35.02.15.2010|Golan
35.02.15.2011|Prajegan
35.02.15.2012|Kedungbanteng
35.02.15.2013|Karanglo Lor
35.02.15.2014|Gegeran
35.02.15.2015|Gandukepuh
35.02.15.2016|Kalimalang
35.02.15.2017|Sragi
35.02.15.2018|Morosari
35.02.16|Babadan
35.02.16.1001|Kertosari
35.02.16.1003|Patihan Wetan
35.02.16.1005|Kadipaten
35.02.16.2002|Cekok
35.02.16.2004|Japan
35.02.16.2006|Gupolo
35.02.16.2007|Polorejo
35.02.16.2008|Bareng
35.02.16.2009|Ngunut
35.02.16.2010|Sukosari
35.02.16.2011|Lembah
35.02.16.2012|Pondok
35.02.16.2013|Babadan
35.02.16.2014|Purwosari
35.02.16.2015|Trisono
35.02.17|Ponorogo
