52|NUSA TENGGARA BARAT
52.01|KAB. LOMBOK BARAT
52.01.01|Gerung
52.01.01.1001|Gerung Utara
52.01.01.1004|Dasan Geres
52.01.01.1011|Gerung Selatan
52.01.01.2002|Kebon Ayu
52.01.01.2003|Gapuk
52.01.01.2005|Suka Makmur
52.01.01.2006|Banyu Urip
52.01.01.2007|Babussalam
52.01.01.2008|Dasan Tapen
52.01.01.2009|Beleke
52.01.01.2010|Tempos
52.01.01.2012|Mesanggok
52.01.01.2013|Taman Ayu
52.01.01.2014|Giri Tembesi
52.01.02|Kediri
52.01.02.2001|Kediri
52.01.02.2002|Montong Are
52.01.02.2003|Jagaraga Indah
52.01.02.2004|Gelogor
52.01.02.2005|Rumak
52.01.02.2006|Banyumulek
52.01.02.2007|Ombe Baru
52.01.02.2008|Dasan Baru
52.01.02.2009|Kediri Selatan
52.01.02.2010|Lelede
52.01.03|Narmada
52.01.03.2001|Lembuak
52.01.03.2002|Nyur Lembang
52.01.03.2003|Peresak
52.01.03.2004|Keru
52.01.03.2005|Batu Kuta
52.01.03.2006|Tanak Beak
52.01.03.2007|Sedau
52.01.03.2008|Suranadi
52.01.03.2009|Selat
52.01.03.2010|Lebah Sempage
52.01.03.2011|Sesaot
52.01.03.2012|Dasan Tereng
52.01.03.2013|Badrain
52.01.03.2014|Sembung
52.01.03.2015|Kramat Jaya
52.01.03.2016|Grimax Indah
52.01.03.2017|Pakuan
52.01.03.2018|Golong
52.01.03.2019|Mekarsari
52.01.03.2020|Buwun Sejati
52.01.03.2021|Narmada
52.01.07|Sekotong
52.01.07.2001|Sekotong Tengah
52.01.07.2002|Sekotong Barat
52.01.07.2003|Pelangan
52.01.07.2004|Buwun Mas
52.01.07.2005|Kedaro
52.01.07.2006|Batu Putih
52.01.07.2007|Gili Gede Indah
52.01.07.2008|Cendi Manik
52.01.07.2009|Taman Baru
52.01.08|Labuapi
52.01.08.2001|Bengkel
52.01.08.2002|Merembu
52.01.08.2003|Bagik Polak
52.01.08.2004|Telagawaru
52.01.08.2005|Perampuan
52.01.08.2006|Bajur
52.01.08.2007|Terong Tawah
52.01.08.2008|Kuranji
52.01.08.2009|Karang Bongkot
52.01.08.2010|Labuapi
52.01.08.2011|Bagik Polak Barat
52.01.08.2012|Kuranji Dalang
52.01.09|Gunungsari
52.01.09.2001|Gunungsari
52.01.09.2002|Midang
52.01.09.2003|Sesele
52.01.09.2004|Kekait
52.01.09.2005|Kekeri
52.01.09.2006|Mambalan
52.01.09.2007|Dopang
52.01.09.2008|Penimbung
52.01.09.2009|Taman Sari
52.01.09.2010|Jatisela
52.01.09.2011|Guntur Macan
52.01.09.2012|Mekar Sari
52.01.09.2013|Ranjok
52.01.09.2014|Gelangsar
52.01.09.2015|Jeringo
52.01.09.2016|Bukittinggi
52.01.12|Lingsar
52.01.12.2001|Lingsar
52.01.12.2002|Batu Kumbang
52.01.12.2003|Sigerongan
52.01.12.2004|Duman
52.01.12.2005|Karang Bayan
52.01.12.2006|Langko
52.01.12.2007|Dasan Geria
52.01.12.2008|Peteluan Indah
52.01.12.2009|Gegerung
52.01.12.2010|Batu Mekar
52.01.12.2011|Giri Madia
52.01.12.2012|Bug-Bug
52.01.12.2013|Gegelang
52.01.12.2014|Saribaye
52.01.12.2015|Gontoran
52.01.13|Lembar
52.01.13.2001|Lembar
52.01.13.2002|Jembatan Kembar
52.01.13.2003|Mareje
52.01.13.2004|Sekotong Timur
52.01.13.2005|Labuan Tereng
52.01.13.2006|Jembatan Gantung
52.01.13.2007|Lembar Selatan
52.01.13.2008|Mareje Timur
52.01.13.2009|Jembatan Kembar Timur
52.01.13.2010|Eyat Mayang
52.01.14|Batu Layar
52.01.14.2001|Batulayar
52.01.14.2002|Meninting
52.01.14.2003|Sandik
52.01.14.2004|Lembah Sari
52.01.14.2005|Senteluk
52.01.14.2006|Senggigi
52.01.14.2007|Bengkaung
52.01.14.2008|Pusuk Lestari
52.01.14.2009|Batu Layar Barat
52.01.15|Kuripan
52.01.15.2001|Kuripan
52.01.15.2002|Jagaraga
52.01.15.2003|Kuripan Utara
52.01.15.2004|Kuripan Selatan
52.01.15.2005|Kuripan Timur
52.01.15.2006|Giri Sasak
52.02|KAB. LOMBOK TENGAH
52.02.01|Praya
52.02.01.1001|Praya
52.02.01.1002|Leneng
52.02.01.1003|Gerunung
52.02.01.1004|Semayan
52.02.01.1005|Perapen
52.02.01.1006|Tiwugalih
52.02.01.1007|Gonjak
52.02.01.1008|Panji Sari
52.02.01.1009|Renteng
52.02.01.2010|Mertak Tombok
52.02.01.2011|Aik Mual
52.02.01.2012|Montong Terep
52.02.01.2013|Jago
52.02.01.2014|Bunut Baok
52.02.01.2015|Mekar Damai
52.02.02|Jonggat
52.02.02.2001|Barejulat
52.02.02.2002|Ubung
52.02.02.2003|Jelantik
52.02.02.2004|Labulia
52.02.02.2005|Batu Tulis
52.02.02.2006|Perina
52.02.02.2007|Pengenjek
52.02.02.2008|Puyung
52.02.02.2009|Nyerot
52.02.02.2010|Sukarara
52.02.02.2011|Gemel
52.02.02.2012|Bonjeruk
52.02.02.2013|Bunkate
52.02.03|Batukliang
52.02.03.2001|Bujak
52.02.03.2002|Selebung
52.02.03.2003|Peresak
52.02.03.2004|Mantang
52.02.03.2005|Aik Darek
52.02.03.2006|Tampak Siring
52.02.03.2007|Barabali
52.02.03.2008|Beber
52.02.03.2009|Pagutan
52.02.03.2010|Mekar Bersatu
52.02.04|Pujut
52.02.04.2001|Sengkol
52.02.04.2002|Segala Anyar
52.02.04.2003|Sukadana
52.02.04.2004|Teruwai
52.02.04.2005|Pengengat
52.02.04.2006|Kawo
52.02.04.2007|Gapura
52.02.04.2008|Rembitan
52.02.04.2009|Kuta
52.02.04.2010|Pengembur
52.02.04.2011|Tumpak
52.02.04.2012|Mertak
52.02.04.2013|Prabu
52.02.04.2014|Tanak Awu
52.02.04.2015|Ketara
52.02.04.2016|Bangket Parak
52.02.05|Praya Barat
52.02.05.2001|Bonder
52.02.05.2002|Banyu Urip
52.02.05.2003|Mangkung
