92|PAPUA BARAT
92.01|KAB. SORONG
92.01.01|Makbon
92.01.01.1001|Makbon
92.01.01.2002|Asbaken
92.01.01.2004|Malaumkarta
92.01.01.2005|Batu Lubang
92.01.01.2007|Batu Lubang Pantai
92.01.01.2008|Kwadas
92.01.01.2009|Bainkete
92.01.01.2010|Teluk Dore
92.01.01.2011|Sawatuk
92.01.01.2012|Malagasih
92.01.01.2013|Klasimigik
92.01.01.2014|Klasigi
92.01.01.2015|Klagulus
92.01.01.2016|Suatolo
92.01.01.2017|Mibi
92.01.04|Beraur
92.01.04.2001|Klabra
92.01.04.2002|Wanurian
92.01.04.2009|Klarion
92.01.04.2011|Kaas
92.01.04.2015|Wensi
92.01.04.2016|Mumpi
92.01.04.2019|Klamak
92.01.04.2020|Serselion
92.01.04.2022|Kmafo
92.01.04.2027|Midlal
92.01.04.2028|Sorain
92.01.04.2033|Armoin
92.01.04.2034|Serselion Baru
92.01.05|Salawati
92.01.05.1001|Katinim
92.01.05.1006|Majener
92.01.05.1007|Majaran
92.01.05.1009|Matawolot
92.01.05.2011|Walal
92.01.05.2012|Malaus
92.01.05.2018|Rawa Sugi
92.01.06|Seget
92.01.06.2001|Seget
92.01.06.2004|Malaban
92.01.06.2005|Pulau Kasim
92.01.06.2010|Kasimle
92.01.06.2011|Wewenagu
92.01.06.2012|Wasingsan
92.01.06.2013|Klayas
92.01.06.2014|Wayenkede
92.01.06.2015|Mobi
92.01.07|Aimas
92.01.07.1001|Aimas
92.01.07.1002|Malawili
92.01.07.1003|Malawele
92.01.07.1006|Mariat Pantai
92.01.07.1026|Mariat Gunung
92.01.07.1029|Warmon
92.01.07.1030|Klabinain
92.01.07.1031|Malasom
92.01.07.1032|Klaigit
92.01.07.1034|Malagusa
92.01.07.1035|Klafma
92.01.07.2028|Maibo
92.01.07.2033|Aimo
92.01.07.2038|Malasaum
92.01.08|Klamono
92.01.08.2001|Klawana
92.01.08.2002|Klamano
92.01.08.2003|Wariayau
92.01.08.2008|Klamono
92.01.08.2009|Wonosari
92.01.08.2010|Gisim Darat
92.01.08.2013|Mlais
92.01.08.2020|Mlasmily
92.01.08.2021|Klasafet
92.01.08.2022|Posa
92.01.10|Sayosa
92.01.10.2001|Sayosa
92.01.10.2004|Maladofok
92.01.10.2006|Yorbes
92.01.10.2011|Samusa
92.01.10.2012|Klamintu
92.01.10.2014|Klain
92.01.12|Segun
92.01.12.2001|Segun
92.01.12.2002|Gisim
92.01.12.2003|Waimon
92.01.12.2004|Klasegun
92.01.12.2005|Waimlabat
92.01.12.2006|Majemau
92.01.12.2008|Klasin
92.01.12.2009|Klajaring
92.01.12.2010|Malamas
92.01.13|Mayamuk
92.01.13.1001|Makbusum
92.01.13.1002|Makbalim
92.01.13.1003|Makotyamsa
92.01.13.2004|Jeflio
