19|KEPULAUAN BANGKA BELITUNG
19.01|KAB. BANGKA
19.01.01|Sungailiat
19.01.01.1001|Sungailiat
19.01.01.1002|Sri Menanti
19.01.01.1003|Kudai
19.01.01.1004|Sinar Baru
19.01.01.1005|Kenanga
19.01.01.1006|Parit Padang
19.01.01.1008|Sinar Jaya Jelutung
19.01.01.1009|Matras
19.01.01.1010|Jelitik
19.01.01.1011|Surya Timur
19.01.01.1012|Lubuk Kelik
19.01.01.1013|Bukit Betung
19.01.01.2007|Rebo
19.01.02|Belinyu
19.01.02.1001|Kuto Panji
19.01.02.1002|Air Jukung
19.01.02.1003|Bukit Ketok
19.01.02.1009|Remodong Indah
19.01.02.1010|Air Asam
19.01.02.1011|Mantung
19.01.02.1012|Belinyu
19.01.02.2004|Gunung Muda
19.01.02.2005|Gunung Pelawan
19.01.02.2006|Riding Panjang
19.01.02.2007|Lumut
19.01.02.2008|Bintet
19.01.03|Merawang
19.01.03.2001|Batu Rusa
19.01.03.2002|Balun Ijuk
19.01.03.2003|Riding Panjang
19.01.03.2004|Jurung
19.01.03.2005|Kimak
19.01.03.2006|Pagarawan
19.01.03.2007|Merawang
19.01.03.2008|Air Anyir
19.01.03.2009|Dwi Makmur
19.01.03.2010|Jada Bahrin
19.01.04|Mendo Barat
19.01.04.2001|Petaling
19.01.04.2002|Penagan
19.01.04.2003|Zed
19.01.04.2004|Mendo
19.01.04.2005|Paya Benua
19.01.04.2006|Cengkong Abang
19.01.04.2007|Kace
19.01.04.2008|Kemuja
19.01.04.2009|Air Duren
19.01.04.2010|Kota Kapur
19.01.04.2011|Air Buluh
19.01.04.2012|Rukam
19.01.04.2013|Labuh Air Pandan
19.01.04.2014|Kace Timur
19.01.04.2015|Petaling Banjar
19.01.05|Pemali
19.01.05.2001|Air Ruai
19.01.05.2002|Air Duren
19.01.05.2003|Penyamun
19.01.05.2004|Sempan
19.01.05.2005|Pemali
19.01.05.2006|Karya Makmur
19.01.06|Bakam
19.01.06.2001|Bakam
19.01.06.2002|Kapuk
19.01.06.2003|Dalil
19.01.06.2004|Neknang
19.01.06.2005|Tiang Tarah
19.01.06.2006|Mangka
19.01.06.2007|Mabat
19.01.06.2008|Bukit Layang
19.01.06.2009|Maras Senang
19.01.07|Riau Silip
19.01.07.2001|Riau
19.01.07.2002|Pangkal Niur
19.01.07.2003|Pugul
19.01.07.2004|Cit
19.01.07.2005|Deniang
19.01.07.2006|Silip
19.01.07.2007|Mapur
19.01.07.2008|Banyu Asin
