51|BALI
51.01|KAB. JEMBRANA
51.01.01|Negara
51.01.01.1006|Baler Bale Agung
51.01.01.1008|Banjar Tengah
51.01.01.1013|Lelateng
51.01.01.1014|Loloan Barat
51.01.01.2001|Cupel
51.01.01.2002|Baluk
51.01.01.2003|Banyu Biru
51.01.01.2004|Kaliakah
51.01.01.2005|Berangbang
51.01.01.2009|Tegal Badeng Timur
51.01.01.2010|Tegal Badeng Barat
51.01.01.2011|Pengambengan
51.01.02|Mendoyo
51.01.02.1006|Tegalcangkring
51.01.02.2001|Mendoyo Dauh Tukad
51.01.02.2002|Pohsanten
51.01.02.2003|Mendoyo Dangin Tukad
51.01.02.2004|Pergung
51.01.02.2005|Delodberawah
51.01.02.2007|Penyaringan
51.01.02.2008|Yehembang
51.01.02.2009|Yeh Sumbul
51.01.02.2010|Yehembang Kauh
51.01.02.2011|Yehembang Kangin
51.01.03|Pekutatan
51.01.03.2001|Medewi
51.01.03.2002|Pulukan
51.01.03.2003|Asahduren
51.01.03.2004|Pekutatan
51.01.03.2005|Pangyangan
51.01.03.2006|Gumbrih
51.01.03.2007|Manggissari
51.01.03.2008|Pengragoan
51.01.04|Melaya
51.01.04.1001|Gilimanuk
51.01.04.2002|Melaya
51.01.04.2003|Belimbingsari
51.01.04.2004|Ekasari
51.01.04.2005|Nusasari
51.01.04.2006|Warnasari
51.01.04.2007|Candikusuma
51.01.04.2008|Tuwed
51.01.04.2009|Tukadaya
51.01.04.2010|Manistutu
51.01.05|Jembrana
51.01.05.1001|Pendem
51.01.05.1003|Loloan Timur
51.01.05.1005|Dauhwaru
51.01.05.1009|Sangkaragung
51.01.05.2002|Perancak
51.01.05.2004|Batu Agung
51.01.05.2006|Budeng
51.01.05.2007|Air Kuning
51.01.05.2008|Yehkuning
51.01.05.2010|Dangin Tukadaya
51.02|KAB. TABANAN
51.02.01|Selemadeg
51.02.01.2001|Bajera
51.02.01.2002|Wanagiri
51.02.01.2003|Pupuan Sawah
51.02.01.2004|Berembeng
51.02.01.2005|Selemadeg
51.02.01.2006|Sarampingan
51.02.01.2007|Antap
51.02.01.2008|Wanagiri Kauh
51.02.01.2009|Manikyang
51.02.01.2010|Bajera Utara
51.02.02|Salamadeg Timur
51.02.02.2001|Gunung Salak
51.02.02.2002|Gadungan
51.02.02.2003|Bantas
51.02.02.2004|Mambang
51.02.02.2005|Megati
51.02.02.2006|Tangguntiti
51.02.02.2007|Beraban
51.02.02.2008|Tegal Mengkeb
51.02.02.2009|Dalang
51.02.02.2010|Gadungsari
51.02.03|Salemadeg Barat
51.02.03.2001|Mundeh
51.02.03.2002|Mundeh Kangin
51.02.03.2003|Lalanglinggah
51.02.03.2004|Antosari
51.02.03.2005|Lumbung
51.02.03.2006|Lumbung Kauh
51.02.03.2007|Tiing Gading
51.02.03.2008|Mundeh Kauh
51.02.03.2009|Angkah
51.02.03.2010|Selabih
51.02.03.2011|Bengkel Sari
51.02.04|Kerambitan
51.02.04.2001|Tibubiu
51.02.04.2002|Kelating
51.02.04.2003|Penarukan
51.02.04.2004|Belumbang
51.02.04.2005|Tista
51.02.04.2006|Kerambitan
51.02.04.2007|Pangkung Karung
51.02.04.2008|Samsam
51.02.04.2009|Kukuh
51.02.04.2010|Baturiti
51.02.04.2011|Meliling
51.02.04.2012|Sembung Gede
51.02.04.2013|Batuaji
51.02.04.2014|Kesiut
51.02.04.2015|Timpag
51.02.05|Tabanan
51.02.05.2001|Sudimara
51.02.05.2002|Gubug
51.02.05.2003|Bongan
51.02.05.2004|Delod Peken
51.02.05.2005|Dauh Peken
51.02.05.2006|Dajan Peken
51.02.05.2007|Denbantas
51.02.05.2008|Subamia
51.02.05.2009|Wanasari
51.02.05.2010|Tunjuk
51.02.05.2011|Buahan
51.02.05.2012|Sedandan
51.02.06|Kediri
51.02.06.2001|Bengkel
51.02.06.2002|Pangkung Tibah
51.02.06.2003|Belalang
51.02.06.2004|Beraban
51.02.06.2005|Buwit
51.02.06.2006|Cepaka
51.02.06.2007|Kaba-kaba
51.02.06.2008|Nyambu
51.02.06.2009|Pandak Bandung
51.02.06.2010|Pandak Gede
51.02.06.2011|Nyitdah
51.02.06.2012|Pejaten
51.02.06.2013|Kediri
51.02.06.2014|Abian Tuwung
51.02.06.2015|Banjar Anyar
51.02.07|Marga
51.02.07.2001|Kukuh
51.02.07.2002|Beringkit
51.02.07.2003|Peken
51.02.07.2004|Batannyuh
51.02.07.2005|Tegaljadi
51.02.07.2006|Kuwum
51.02.07.2007|Selanbawak
51.02.07.2008|Marga
51.02.07.2009|Petiga
