62|KALIMANTAN TENGAH
62.01|KAB. KOTAWARINGIN BARAT
62.01.01|Kumai
62.01.01.1011|Candi
62.01.01.1012|Kumai Hulu
62.01.01.1013|Kumai Hilir
62.01.01.2001|Sungai Cabang
62.01.01.2002|Teluk Pulai
62.01.01.2003|Sabuai
62.01.01.2004|Keraya
62.01.01.2005|Teluk Bogam
62.01.01.2006|Sungai Bakau
62.01.01.2007|Kubu
62.01.01.2008|Sungai Kapitan
62.01.01.2009|Batu Belaman
62.01.01.2010|Sungai Tendang
62.01.01.2014|Sungai Sekonyer
62.01.01.2015|Sungai Bedaun
62.01.01.2017|Bumi Harjo
62.01.01.2032|Pangkalan Satu
62.01.01.2034|Sebuai Timur
62.01.02|Arut Selatan
62.01.02.1002|Mendawai Seberang
62.01.02.1003|Mendawai
62.01.02.1005|Madurejo
62.01.02.1006|Sidorejo
62.01.02.1007|Raja
62.01.02.1008|Raja Seberang
62.01.02.1009|Baru
62.01.02.2001|Tanjung Putri
62.01.02.2004|Pasir Panjang
62.01.02.2010|Rangda
62.01.02.2011|Kenambui
62.01.02.2012|Runtu
62.01.02.2013|Umpang
62.01.02.2014|Kumpai Batu Bawah
62.01.02.2015|Kumpai Batu Atas
62.01.02.2016|Natai Raya
62.01.02.2017|Medang Sari
62.01.02.2018|Natai Baru
62.01.02.2019|Tanjung Terantang
62.01.02.2020|Sulung
62.01.03|Kotawaringin Lama
62.01.03.1007|Kotawaringin Hulu
62.01.03.1008|Kotawaringin Hilir
62.01.03.2001|Babual Baboti
62.01.03.2002|Tempayung
62.01.03.2003|Sakabulin
62.01.03.2004|Kinjil
62.01.03.2005|Dawak
62.01.03.2006|Riam Durian
62.01.03.2009|Lalang
62.01.03.2010|Rungun
62.01.03.2011|Kondang
62.01.03.2012|Suka Jaya
62.01.03.2013|Suka Makmur
62.01.03.2014|Sumber Mukti
62.01.03.2015|Palih Baru
62.01.03.2016|Ipuh Bangun Jaya
62.01.03.2017|Sagu Suka Mulya
62.01.04|Arut Utara
62.01.04.1002|Pangkut
62.01.04.2001|Nanga Mua
62.01.04.2003|Sukarami
62.01.04.2004|Gandis
62.01.04.2005|Kerabu
62.01.04.2006|Sambi
62.01.04.2007|Penyombaan
62.01.04.2008|Pandau
62.01.04.2009|Riam
62.01.04.2010|Panahan
62.01.04.2011|Sungai Dau
62.01.05|Pangkalan Lada
62.01.05.2001|Pangkalan Tiga
62.01.05.2002|Pandu Sanjaya
62.01.05.2003|Lada Mandala Jaya
62.01.05.2004|Makarti Jaya
62.01.05.2005|Sumber Agung
62.01.05.2006|Purbasari
62.01.05.2007|Sungai Rangit Jaya
62.01.05.2008|Pangkalan Dewa
62.01.05.2009|Kadipi Atas
62.01.05.2010|Sungai Melawen
62.01.05.2011|Pangkalan Durin
62.01.06|Pangkalan Banteng
62.01.06.2001|Pangkalan Banteng
62.01.06.2002|Mulya Jadi
62.01.06.2003|Karang Mulya
62.01.06.2004|Kebun Agung
62.01.06.2005|Sido Mulyo
62.01.06.2006|Marga Mulya
62.01.06.2007|Amin Jaya
62.01.06.2008|Arga Mulya
62.01.06.2009|Natai Kerbau
62.01.06.2010|Simpang Berambai
62.01.06.2011|Sungai Hijau
62.01.06.2012|Sungai Pakit
62.01.06.2013|Berambai Makmur
62.01.06.2014|Karang Sari
62.01.06.2015|Sungai Pulau
62.01.06.2016|Sungai Bengkuang
62.01.06.2017|Sungai Kuning
62.02|KAB. KOTAWARINGIN TIMUR
62.02.01|Kota Besi
62.02.01.1009|Kota Besi Hulu
62.02.01.1010|Kota Besi Hilir
62.02.01.2003|Palangan
62.02.01.2004|Hanjalipan
62.02.01.2005|Simpur
62.02.01.2006|Pamalian
62.02.01.2007|Camba
62.02.01.2008|Kandan
62.02.01.2012|Bajarum
62.02.01.2015|Rasau Tumbuh
62.02.01.2017|Soren
62.02.02|Cempaga
62.02.02.2004|Rubung Buyung
62.02.02.2005|Patai
62.02.02.2006|Luwuk Ranggan
62.02.02.2007|Jemaras
62.02.02.2008|Cempaka Mulia Timur
62.02.02.2009|Cempaka Mulia Barat
