65|KALIMANTAN UTARA
65.01|KAB. BULUNGAN
65.01.01|Tanjung Palas
65.01.01.1001|Tanjung Palas Hulu
65.01.01.1002|Tanjung Palas Tengah
65.01.01.1003|Tanjung Palas Hilir
65.01.01.1004|Karang Anyar
65.01.01.2005|Gunung Putih
65.01.01.2006|Pejalin
65.01.01.2007|Antutan
65.01.01.2008|Teras Baru
65.01.01.2009|Teras Nawang
65.01.02|Tanjung Palas Barat
65.01.02.2001|Long Beluah
65.01.02.2002|Long Sam
65.01.02.2003|Mara I
65.01.02.2004|Mara Hilir
65.01.02.2005|Long Pari
65.01.03|Tanjung Palas Utara
65.01.03.2001|Karang Agung
65.01.03.2002|Pimping
65.01.03.2003|Panca Agung
65.01.03.2004|Ruhui Rahayu
65.01.03.2005|Ardi Mulyo
65.01.03.2006|Kelubir
65.01.04|Tanjung Palas Timur
65.01.04.2001|Tanah Kuning
65.01.04.2002|Mangkupadi
65.01.04.2003|Sajau
65.01.04.2004|Wonomulyo
65.01.04.2005|Tanjung Agung
65.01.04.2006|Binai
65.01.04.2007|Sajau Hilir
65.01.04.2008|Pura Sajau
65.01.05|Tanjung Selor
65.01.05.1001|Tanjung Selor Hulu
65.01.05.1002|Tanjung Selor Hilir
65.01.05.1008|Tanjung Selor Timur
65.01.05.2003|Jelarai Selor
65.01.05.2004|Gunung Seriang
65.01.05.2005|Bumi Rahayu
65.01.05.2006|Gunung Sari
65.01.05.2007|Apung
65.01.05.2009|Tengkapak
65.01.06|Tanjung Palas Tengah
65.01.06.2001|Salimbatu
65.01.06.2002|Silva Rahayu
65.01.06.2003|Tanjung Buka
65.01.07|Peso
65.01.07.2001|Lepak Aru
65.01.07.2002|Long Lasan
65.01.07.2003|Long Peso
65.01.07.2004|Long Bia
65.01.07.2005|Muara Pengean
65.01.07.2006|Long Lian
65.01.07.2007|Long Pelaah
65.01.07.2008|Long Lejuh
65.01.07.2009|Long Pelban
65.01.07.2010|Long Buang
65.01.08|Peso Hilir
65.01.08.2001|Long Tungu
65.01.08.2002|Long Bang
65.01.08.2003|Long Telenjau
65.01.08.2004|Naha Aya
65.01.08.2005|Long Lembu
65.01.08.2006|Long Bang Hulu
65.01.09|Sekatak
65.01.09.2001|Sekatak Buji
65.01.09.2002|Paru Abang
65.01.09.2003|Bunau
65.01.09.2004|Ujang
65.01.09.2005|Tenggiling
65.01.09.2006|Kelembunan
65.01.09.2007|Turung
65.01.09.2008|Terindak
65.01.09.2009|Kelising
65.01.09.2010|Ambalat
65.01.09.2011|Keriting
65.01.09.2012|Kendari
65.01.09.2013|Bambang
65.01.09.2014|Maritam
65.01.09.2015|Pentian
65.01.09.2016|Punan Dulau
65.01.09.2017|Kelincauan
65.01.09.2018|Bekiliu
65.01.09.2019|Sekatak Bengara
65.01.09.2020|Pungit
65.01.09.2021|Anjar Arip
65.01.09.2022|Liagu
65.01.10|Bunyu
65.01.10.2001|Bunyu Barat
65.01.10.2002|Bunyu Selatan
65.01.10.2003|Bunyu Timur
65.02|KAB. MALINAU
65.02.01|Mentarang
65.02.01.2001|Long Gafid
65.02.01.2002|Long Bisai
65.02.01.2003|Temalang
65.02.01.2004|Long Liku
65.02.01.2005|Pulau Sapi
65.02.01.2006|Paking
65.02.01.2007|Lidung Kemenci
65.02.01.2008|Mentarang Baru
65.02.01.2009|Harapan Maju
65.02.02|Malinau Kota
65.02.02.2001|Batu Lidung
65.02.02.2002|Malinau Kota
65.02.02.2003|Pelita Kanaan
65.02.02.2004|Malinau Hulu
65.02.02.2005|Malinau Hilir
65.02.02.2006|Tanjung Keranjang
65.02.03|Pujungan
65.02.03.2001|Long Pujungan
65.02.03.2002|Long Ketaman
65.02.03.2003|Long Pua
65.02.03.2004|Long Lame
65.02.03.2005|Long Jelet
65.02.03.2006|Long Aran
65.02.03.2007|Long Paliran
65.02.03.2008|Long Bena
65.02.03.2009|Long Belaka Pitau
65.02.04|Kayan Hilir
65.02.04.2001|Data Dian
65.02.04.2002|Long Pipa
65.02.04.2003|Long Sule
65.02.04.2004|Sungai Anai
65.02.04.2005|Long Metun
65.02.05|Kayan Hulu
65.02.05.2001|Long Nawang
65.02.05.2002|Nawang Baru
65.02.05.2003|Long Temuyat
65.02.05.2004|Long Betaoh
65.02.05.2005|Long Payau
65.02.06|Malinau Selatan
65.02.06.2001|Bila Bekayuk
65.02.06.2002|Long Loreh
65.02.06.2003|Langap
65.02.06.2004|Laban Nyarit
65.02.06.2005|Nunuk Tanah Kibang
65.02.06.2006|Pelencau
65.02.06.2007|Paya Seturan
65.02.06.2008|Punan Rian
65.02.06.2009|Sengayan
65.02.07|Malinau Utara
65.02.07.2001|Kaliamok
65.02.07.2002|Luso
65.02.07.2003|Malinau Seberang
65.02.07.2004|Putat
65.02.07.2005|Salap
65.02.07.2006|Seruyung
65.02.07.2007|Respen Tubu
65.02.07.2008|Belayan
65.02.07.2009|Sembuak Warod
65.02.07.2010|Lubak Manis
65.02.07.2011|Kelapis
65.02.07.2012|Semengaris
65.02.08|Malinau Barat
65.02.08.2001|Long Bila
65.02.08.2002|Long Kenipe
65.02.08.2003|Punan Bengalun
65.02.08.2004|Sesua
65.02.08.2005|Sentaban
65.02.08.2006|Tanjung Lapang
65.02.08.2007|Taras
65.02.08.2008|Kuala Lapang
65.02.08.2009|Sempayang
65.02.09|Sungai Boh
65.02.09.2001|Dumu Mahak
65.02.09.2002|Long Lebusan
65.02.09.2003|Mahak Baru
65.02.09.2004|Long Top
65.02.09.2005|Agung Baru
65.02.09.2006|Data Baru
65.02.10|Kayan Selatan
65.02.10.2001|Long Ampung
65.02.10.2002|Long Uro
65.02.10.2003|Lidung Payau
65.02.10.2004|Sungai Barang
65.02.10.2005|Metulang
65.02.11|Bahau Hulu
65.02.11.2001|Long Uli
65.02.11.2002|Long Alango
65.02.11.2003|Long Berini
65.02.11.2004|Long Tebulo
65.02.11.2005|Apau Ping
65.02.11.2006|Long Kemuat
65.02.12|Mentarang Hulu
65.02.12.2001|Lung Fala
65.02.12.2002|Lung Kebinu
65.02.12.2003|Lung Mekatip
65.02.12.2004|Lung Simau
65.02.12.2005|Lung Barang
65.02.12.2006|Lung Sulit
65.02.12.2007|Lung Semamu
65.02.13|Malinau Selatan Hilir
65.02.13.2001|Setulang
65.02.13.2002|Setarap
65.02.13.2003|Punan Setarap
65.02.13.2004|Batu Kajang
65.02.13.2005|Gong Solok
65.02.13.2006|Punan Gong Solok
65.02.13.2007|Long Adiu
65.02.13.2008|Punan Long Adiu
65.02.14|Malinau Selatan Hulu
65.02.14.2001|Long Lake
65.02.14.2002|Punan Mirau
65.02.14.2003|Long Rat
65.02.14.2004|Halanga
65.02.14.2005|Metut
65.02.14.2006|Long Jalan
65.02.14.2007|Nahakramo
65.02.14.2008|Tanjung Nanga
65.02.15|Sungai Tubu
65.02.15.2001|Long Nyau
65.02.15.2002|Long Titi
65.02.15.2003|Long Ranau
65.02.15.2004|Rian Tubu
65.02.15.2005|Long Pada
65.03|KAB. NUNUKAN
65.03.01|Sebatik
65.03.01.2001|Tanjungkarang
65.03.01.2002|Balansiku
65.03.01.2003|Sungai Manurung
65.03.01.2004|Padaidi
65.03.02|Nunukan
65.03.02.1001|Nunukan Timur
65.03.02.1002|Nunukan Barat
65.03.02.1003|Nunukan Utara
65.03.02.1005|Nunukan Tengah
65.03.02.2004|Binusan
65.03.03|Sembakung
65.03.03.2001|Tagul
65.03.03.2002|Lubakan
65.03.03.2003|Atap
65.03.03.2004|Manuk Bungkul
65.03.03.2005|Tujung
65.03.03.2006|Pagar
65.03.03.2007|Labuk
65.03.03.2008|Butas Bagu
65.03.03.2009|Pelaju
65.03.03.2010|Tepian
65.03.04|Lumbis
65.03.04.2001|Deralon
65.03.04.2002|Liang
65.03.04.2003|Dabulon
65.03.04.2004|Taluan
65.03.04.2005|Podong
65.03.04.2006|Patal I
65.03.04.2007|Siawang
65.03.04.2008|Sapuyan
65.03.04.2009|Nainsid
65.03.04.2010|Sasibu
65.03.04.2011|Saludan
65.03.04.2012|Semalat
65.03.04.2013|Libang
65.03.04.2014|Sedongon
65.03.04.2015|Tanjung Hilir
65.03.04.2016|Sumalumung
65.03.04.2017|Lintong
65.03.04.2018|Pulu Bulawan
65.03.04.2019|Tanjung Hulu
65.03.04.2020|Patal II
65.03.04.2021|Pa'loo
65.03.04.2022|Sangkub
65.03.04.2023|Tubus
65.03.04.2024|Likos
65.03.04.2025|Bulan-Bulan
65.03.04.2026|Kalampising
65.03.04.2027|Pa'lemumut
65.03.04.2028|Mansalong
65.03.05|Krayan
65.03.05.2002|Pa' Padi
65.03.05.2003|Cinglat
65.03.05.2022|Liang Butan
65.03.05.2029|Pa' Rupai
65.03.05.2030|Ba Sikor
65.03.05.2031|Pa' Nado
65.03.05.2032|Buduk Kinangan
65.03.05.2033|Liang Tuer
65.03.05.2034|Buduk Tumu
65.03.05.2035|Long Berayang
65.03.05.2036|Pa' Api
65.03.05.2037|Pa' Sire
65.03.05.2038|Wa' Yanud
65.03.05.2039|Long Nawan
65.03.05.2040|Long Katung
65.03.05.2041|Long Bawan
65.03.05.2044|Long Matung
65.03.05.2045|Long Rupan
65.03.05.2046|Liang Biadung
65.03.05.2047|Wa' Laya
65.03.05.2048|Pa' Matung
65.03.05.2049|Pa' Terutun
65.03.05.2065|Pa' Putuk
65.03.06|Sebuku
65.03.06.2001|Pembeliangan
65.03.06.2002|Apas
65.03.06.2003|Kunyit
65.03.06.2004|Tetaban
65.03.06.2005|Kekayap
65.03.06.2006|Bebanas
65.03.06.2007|Lulu
65.03.06.2008|Sujau
65.03.06.2009|Melasu Baru
65.03.06.2010|Harapan
65.03.07|Krayan Selatan
65.03.07.2001|Long Pasia
65.03.07.2002|Liang Lunuk
65.03.07.2003|Pa' Ibang
65.03.07.2004|Pa' Amai
65.03.07.2005|Pa' Kaber
65.03.07.2006|Pa' Tera
65.03.07.2007|Pa' Sing
65.03.07.2009|Pa' Dalan
65.03.07.2010|Long Birar
65.03.07.2011|Pa' Upan
65.03.07.2016|Long Budung
65.03.07.2018|Long Pupung
65.03.07.2020|Pa' Urang
65.03.08|Sebatik Barat
65.03.08.2001|Liang Bunyu
65.03.08.2002|Binalawan
65.03.08.2003|Setabu
65.03.08.2004|Bambangan
65.03.09|Nunukan Selatan
65.03.09.1001|Selisun
65.03.09.1002|Nunukan Selatan
65.03.09.1003|Mansapa
65.03.09.1004|Tanjung Harapan
65.03.10|Sebatik Timur
65.03.10.2001|Sungai Nyamuk
65.03.10.2002|Tanjung Harapan
65.03.10.2003|Bukit Aru Indah
65.03.10.2004|Tanjung Aru
65.03.11|Sebatik Utara
65.03.11.2001|Sungai Pancang
65.03.11.2002|Lapri
65.03.11.2003|Seberang
65.03.12|Sebatik Tengah
65.03.12.2001|Sungai Limau
65.03.12.2002|Maspul
65.03.12.2003|Aji Kuning
65.03.12.2004|Bukit Harapan
65.03.13|Sei Menggaris
65.03.13.2001|Srinanti
65.03.13.2002|Tabur Lestari
65.03.13.2003|Samaenre Semaja
65.03.13.2004|Sekaduyan Taka
65.03.14|Tulin Onsoi
65.03.14.2001|Sanur
65.03.14.2002|Makmur
65.03.14.2003|Semunad
65.03.14.2004|Sekikilan
65.03.14.2005|Kalunsayan
65.03.14.2006|Tembalang
65.03.14.2007|Salang
65.03.14.2008|Tinampak I
65.03.14.2009|Tinampak II
65.03.14.2010|Naputi
65.03.14.2011|Tau Baru
65.03.14.2012|Balatikon
65.03.15|Lumbis Ogong
65.03.15.2001|Payang
65.03.15.2002|Suyadon
65.03.15.2003|Bulu Mengolom
65.03.15.2004|Tukulon
65.03.15.2005|Ubol Sulok
65.03.15.2006|Batung
65.03.15.2007|Ubol Alung
65.03.15.2008|Nansapan
65.03.15.2009|Samunti
65.03.15.2010|Semata
65.03.15.2011|Sungoi
65.03.15.2012|Salan
65.03.15.2013|Sinampila I
65.03.15.2014|Paluan
65.03.15.2015|Sedalit
65.03.15.2016|Tambalang Hilir
65.03.15.2017|Tadungus
65.03.15.2018|Sinampila II
65.03.15.2019|Kalambuku
65.03.15.2020|Jukup
65.03.15.2021|Long Bulu
65.03.15.2022|Sumentobol
65.03.15.2023|Linsayung
65.03.15.2024|Tumantalas
65.03.15.2025|Sanal
65.03.15.2026|Limpakon
65.03.15.2027|Labuk
65.03.15.2028|Nantukidan
65.03.15.2029|Labang
65.03.15.2030|Sumantipal
65.03.15.2031|Ngawol
65.03.15.2032|Bululaun Hilir
65.03.15.2033|Lagas
65.03.15.2034|Panas
65.03.15.2035|Langgason
65.03.15.2036|Tambalang Hulu
65.03.15.2037|Kuyo
65.03.15.2038|Bokok
65.03.15.2039|Tau Lumbis
65.03.15.2040|Bululaun Hulu
65.03.15.2041|Kalisun
65.03.15.2042|Mamasin
65.03.15.2043|Sibalu
65.03.15.2044|Duyan
65.03.15.2045|Tuntulibing
65.03.15.2046|Tetagas
65.03.15.2047|Kabungolor
65.03.15.2048|Lipaga
65.03.15.2049|Tantalujuk
65.03.16|Sembakung Atulai
65.03.16.2001|Lubok Buat
65.03.16.2002|Katul
65.03.16.2003|Mambulu
65.03.16.2004|Pagaluyon
65.03.16.2005|Saduman
65.03.16.2006|Tulang
65.03.16.2007|Sabuluan
65.03.16.2008|Pulau Keras
65.03.16.2009|Liuk Bulu
65.03.16.2010|Binanun
65.03.17|Krayan Tengah
65.03.17.2001|Tang Paye
65.03.17.2002|Long Rungan
65.03.17.2003|Long Kelupan
65.03.17.2004|Long Padi
65.03.17.2005|Tang Badui
65.03.17.2006|Binuang
