81|MALUKU
81.01|KAB. MALUKU TENGAH
81.01.01|Amahai
81.01.01.1009|Hollo
81.01.01.2001|Tamilouw
81.01.01.2002|Sepa
81.01.01.2003|Rutah
81.01.01.2004|Soahuku
81.01.01.2005|Amahai
81.01.01.2006|Haruru
81.01.01.2007|Sehati
81.01.01.2008|Makariki
81.01.01.2010|Yafila
81.01.01.2011|Banda Baru
81.01.01.2020|Yainuelo
81.01.01.2021|Nua Nea
81.01.01.2022|Hatuhenu
81.01.01.2023|Nuweletetu
81.01.02|Teon Nila Serua
81.01.02.2001|Usliapan
81.01.02.2002|Kuralele
81.01.02.2003|Kokroman
81.01.02.2004|Messa
81.01.02.2005|Ameth
81.01.02.2006|Waru
81.01.02.2007|Bumey
81.01.02.2008|Sifluru
81.01.02.2009|Layeni
81.01.02.2010|Wotay
81.01.02.2011|Issu
81.01.02.2012|Lesluru
81.01.02.2013|Watludan
81.01.02.2014|Trana
81.01.02.2015|Jerili
81.01.02.2016|Nakupia
81.01.06|Seram Utara
81.01.06.2001|Wahai
81.01.06.2002|Air Besar
81.01.06.2003|Pasahari
81.01.06.2007|Manusela
81.01.06.2009|Kaloa
81.01.06.2010|Kanikeh
81.01.06.2011|Roho
81.01.06.2012|Huaulu
81.01.06.2021|Rumahsokat
81.01.06.2022|Sawai
81.01.06.2044|Besi
81.01.06.2045|Malaku
81.01.06.2046|Maraina
81.01.06.2047|Solea
81.01.06.2048|Elemata
81.01.06.2049|Hatuolo
81.01.06.2050|Siatele
81.01.06.2051|Masihulan
81.01.06.2052|Oping
81.01.06.2053|Olong
81.01.09|Banda
81.01.09.2001|Nusantara
81.01.09.2002|Dwiwarna
81.01.09.2003|Merdeka
81.01.09.2004|Rajawali
81.01.09.2005|Kampung Baru
81.01.09.2006|Pulau Hatta
81.01.09.2007|Selamon
81.01.09.2008|Lonthoir
81.01.09.2009|Pulau Ay
81.01.09.2010|Pulau Rhun
81.01.09.2011|Tanah Rata
81.01.09.2012|Waer
81.01.09.2013|Boiyauw
81.01.09.2014|Dender
81.01.09.2015|Lautang
81.01.09.2016|Uring Tutra
81.01.09.2017|Walling Spanciby
81.01.09.2018|Combir Kasestoren
81.01.11|Tehoru
81.01.11.2011|Telutih Baru
81.01.11.2012|Mosso
81.01.11.2013|Hatumete
81.01.11.2014|Hatu
81.01.11.2015|Piliana
81.01.11.2016|Yaputih
81.01.11.2017|Saunulu
81.01.11.2018|Tehoru
81.01.11.2019|Haya
81.01.11.2020|Salamahu
81.01.12|Saparua
81.01.12.2001|Booi
81.01.12.2002|Paperu
81.01.12.2003|Tiouw
81.01.12.2004|Haria
81.01.12.2005|Porto
81.01.12.2006|Kulur
81.01.12.2012|Saparua
81.01.13|Pulau Haruku
81.01.13.2001|Aboru
81.01.13.2002|Wassu
81.01.13.2003|Oma
81.01.13.2004|Haruku
81.01.13.2005|Sameth
81.01.13.2006|Rohomoni
81.01.13.2007|Kabauw
81.01.13.2008|Kailolo
81.01.13.2009|Pelauw
81.01.13.2010|Kariu
81.01.13.2011|Hulaliu
81.01.14|Salahutu
81.01.14.2001|Liang
81.01.14.2002|Waai
81.01.14.2003|Tulehu
81.01.14.2004|Tial
81.01.14.2005|Tengah Tengah
81.01.14.2006|Suli
81.01.15|Leihitu
81.01.15.2006|Asilulu
81.01.15.2007|Ureng
81.01.15.2008|Negeri Lima
81.01.15.2009|Seith
81.01.15.2010|Kaitetu
81.01.15.2011|Hila
81.01.15.2012|Wakal
81.01.15.2013|Hitulama
81.01.15.2014|Hitumessing
81.01.15.2015|Mamala
81.01.15.2016|Morella
81.01.16|Nusa Laut
81.01.16.2001|Ameth
81.01.16.2002|Titawaai
81.01.16.2003|Abubu
81.01.16.2004|Akoon
81.01.16.2005|Nalahia
81.01.16.2006|Sila
81.01.16.2007|Leinitu
81.01.17|Kota Masohi
81.01.17.1001|Namaelo
81.01.17.1002|Namasina
81.01.17.1003|Ampera
81.01.17.1004|Lesane
81.01.17.1005|Letwaru
81.01.20|Seram Utara Barat
81.01.20.2001|Saleman
81.01.20.2002|Horale
81.01.20.2003|Wailulu
81.01.20.2004|Paa
81.01.20.2005|Karlutu Kara
81.01.20.2006|Pasanea
81.01.20.2007|Labuan
81.01.20.2008|Gale-gale
81.01.20.2009|Latea
